seller_id,seller_city,seller_state,total_orders,total_revenue,avg_delivery_time,total_late_orders,late_delivery_rate_percent
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,218,69516.87,13.3424657534247,34,15.5963302752294
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,380,52138.10,16.5490196078431,72,18.9473684210526
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,47377.06,17.6040609137056,91,23.3933161953728
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,77,44411.32,24.5974025974026,17,22.0779220779221
88460e8ebdecbfecb5f9601833981930,maringa,PR,246,31908.48,17.969111969112,53,21.5447154471545
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,sao paulo,SP,20,23695.20,11.5,5,25
b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,14,21924.25,23.3571428571429,9,64.2857142857143
8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,151,20729.65,14.3112582781457,23,15.2317880794702
cd68562d3f44870c08922d380acae552,ribeirao preto,SP,122,19155.02,16.1707317073171,22,18.0327868852459
821fb029fc6e495ca4f08a35d51e53a5,sao paulo,SP,24,19093.24,16.7083333333333,9,37.5
a888faf2d1baececa6baf9c3d603ee1f,umuarama,PR,53,18464.25,18.0566037735849,8,15.0943396226415
abe42c5d03695b4257b5c6cbf4e6784e,rio de janeiro,RJ,49,17947.55,14.2857142857143,8,16.3265306122449
431af27f296bc6519d890aa5a05fdb11,ribeirao preto,SP,116,14584.43,17,18,15.5172413793103
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,57,13898.45,12.3684210526316,9,15.7894736842105
6039e27294dc75811c0d8a39069f52c0,osasco,SP,63,13577.62,17.9047619047619,14,22.2222222222222
039e6ad9dae79614493083e241147386,sao paulo,SP,5,13273.42,14.4,1,20
adbc26658d6c7b4b6219f9d934598091,curitiba,PR,88,13229.66,17.0674157303371,14,15.9090909090909
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,108,12815.41,15.2136752136752,25,23.1481481481481
ccb83a794700270fde70898fe9ff368b,sombrio,SC,12,12785.73,16.5833333333333,2,16.6666666666667
66e0557ecc2b4dbea057e93f215f68d8,sao paulo,SP,30,12628.42,31.6333333333333,8,26.6666666666667
c4d51195486dc781531876a7d00453d8,presidente prudente,SP,17,12038.35,23.6470588235294,5,29.4117647058824
c60b801f2d52c7f7f91de00870882a75,guarulhos,SP,39,11994.94,16,8,20.5128205128205
75d34ebb1bd0bd7dde40dd507b8169c3,salvador,BA,57,11930.29,16.1052631578947,9,15.7894736842105
54965bbe3e4f07ae045b90b0b8541f52,foz do iguacu,PR,73,11826.02,26.4868421052632,24,32.8767123287671
5d378b73ab7dd6f0418d743e5dcb0bd1,sao paulo,SP,6,11612.70,30.3333333333333,1,16.6666666666667
8e6d7754bc7e0f22c96d255ebda59eba,sao jose dos campos,SP,84,11549.64,15.0659340659341,14,16.6666666666667
7901646fdd36a55f564ffaf2dbccaaf7,rio de janeiro,RJ,22,11113.20,10.125,4,18.1818181818182
ea566164622c6b439516ab18062c42cd,sao paulo,SP,50,10929.79,13.94,11,22
dd7ddc04e1b6c2c614352b383efe2d36,sao paulo,SP,121,10705.85,14.869918699187,20,16.5289256198347
e5a3438891c0bfdb9394643f95273d8e,limeira,SP,216,10512.98,15.506329113924,45,20.8333333333333
cf8ab1616079e2793aa29d524df01bb1,sao paulo,SP,6,10031.56,26.3333333333333,1,16.6666666666667
e7df4cd29ab5abab70fb0783ddb53987,sao paulo,SP,23,10022.07,10.25,4,17.3913043478261
