product_category_name,items_sold,avg_item_price
pcs,181,1141.46
portateis_casa_forno_e_cafe,76,624.29
eletrodomesticos_2,234,483.26
agro_industria_e_comercio,183,351.17
instrumentos_musicais,636,293.11
eletroportateis,632,291.72
portateis_cozinha_e_preparadores_de_alimentos,14,282.21
construcao_ferramentas_seguranca,169,217.56
relogios_presentes,5799,204.78
moveis_quarto,95,185.87
climatizacao,254,181.55
cool_stuff,3658,169.94
construcao_ferramentas_construcao,783,168.45
moveis_escritorio,1303,167.87
moveis_cozinha_area_de_servico_jantar_e_jardim,248,167.86
pc_gamer,8,165.87
telefonia_fixa,217,165.13
musica,38,158.80
industria_comercio_e_negocios,241,156.24
construcao_ferramentas_iluminacao,247,151.41
casa_construcao,501,151.33
construcao_ferramentas_ferramentas,97,148.95
la_cuisine,13,147.31
audio,350,142.37
seguros_e_servicos,2,141.65
automotivo,3991,141.26
consoles_games,1080,141.12
moveis_sala,430,140.35
casa_conforto,406,138.75
bebes,2933,137.82
beleza_saude,9022,134.35
malas_acessorios,1051,130.36
ferramentas_jardim,3607,120.91
brinquedos,3979,119.30
perfumaria,3242,119.23
esporte_lazer,7858,118.26
artes,202,118.10
informatica_acessorios,6887,117.11
outros,1460,116.58
moveis_colchao_e_estofado,38,114.95
pet_shop,1772,113.48
sinalizacao_e_seguranca,143,110.68
artigos_de_festas,39,109.86
construcao_ferramentas_jardim,212,107.87
eletrodomesticos,764,104.73
cine_foto,66,102.09
dvds_blu_ray,62,95.47
utilidades_domesticas,6019,95.34
market_place,284,94.87
cama_mesa_banho,10160,94.83
papelaria,2381,94.52
moveis_decoracao,6781,93.36
tablets_impressao_imagem,79,90.79
fashion_calcados,259,90.42
livros_interesse_geral,530,84.88
fashion_roupa_masculina,123,82.65
livros_importados,59,77.34
fashion_underwear_e_moda_praia,122,75.81
fashion_bolsas_e_acessorios,1979,75.75
artes_e_artesanato,24,75.58
fashion_esporte,27,74.07
livros_tecnicos,264,71.82
fashion_roupa_infanto_juvenil,8,71.23
telefonia,4287,71.17
fashion_roupa_feminina,40,62.97
alimentos,453,59.90
artigos_de_natal,130,59.20
alimentos_bebidas,234,58.95
eletronicos,2565,57.89
bebidas,302,57.02
cds_dvds_musicais,12,53.33
fraldas_higiene,27,46.47
flores,29,33.20
casa_conforto_2,24,28.45
